text,actual,predicted
"Watched a movie yesterday #The70's on #OVTV and was pleasantly surprised to see Michael Easton (John, #OLTL) in it.",1,0
@couriermail I may not agree with Wilkie's ideas but he has proven he is a man of principle...It's a pity Peter Garrett cannot say the same.,-1,0
I can't believe the first semi-final of Melodifestivalen was just yesterday. Can we press fast-forward to @Danny5ausedo? #TeamDanny,0,-1
@Popjustice How come you've been all over Melodi Grand Prix and not mentioned Loreen in Saturday's Melodifestivalen?,0,1
There are still tickets available for the Mar 9 panel at Paleyfest. Let's make #Castle a sold out event! Get tix here: http://t.co/SIzAVlX9,1,0
@NupeyKollins douglas wack! They got Shumpert 72. He be dunking on niggas. I dunked in Lebron with Lin last night hahahahhaa on Brentley,-1,0
9th day of continuous shelling of Baba Amr http://t.co/01dZwmSu #Syria,0,1
"#Syria #Homs, Baba Amr. [8 Feb 2012]. (IMPORTANT) Desperate distress call from Baba Amr to the world. #CNN #BBC #NBC http://t.co/B7xYfz3E",-1,0
"Passionate about CNIS' work, be a rep at Ten Thousand Villages in your hometown on Mar 8 - Winkler 725 Main Street Unit B",1,0
"Passionate about CNIS' work, be a rep at Ten Thousand Villages in your hometown on Mar 8 - Victoria Oak Bay 1976 Oak Bay Ave",1,0
Don't wait til the last minute to book your booths and get tix for Soundboard on March 11th...you will live to regret it!,-1,0
@MTV: The bloodiest sweet 16 ever happens on March 13th. Check out the trailer for My Super Psycho Sweet 16: Part 3 here: http://t.co/Bo1cg7,0,1
"Passionate about CNIS' work, be a rep at Ten Thousand Villages in your hometown on Mar 8 - Saint John 116 Princess Street",1,0
@Boylesports going Hurricane Fly crazy with a 2/1 price on The Fly to win the Champion Hurdle at Cheltenham! http://t.co/AL11SxXw,0,-1
"Excuse the connectivity of this live stream, from Baba Amr, so many activists using only one Sat Modem. LIVE http://t.co/U283IhZ5 #Homs",0,-1
Fuck the talent show lets go to the basketball tournament on Friday at Richard bland to support kenston forest,-1,1
Becoming dangerously obsessed with one of tomorrow's Melodifestivalen songs. I'm sure you can see why. http://t.co/UItTiPrg,-1,0
"Sharmeen Obaid Chinoy, we are proud of you, Saving Face, won at the 84th Oscars in Los Angeles Read more: http://t.co/vwH4GBqh",1,0
Who's going to SMASH PROJECT on March 8? :) looking for more concert buddies.,1,0
"Strong revenue growth at Tudou, but the company keeps on bleeding heavily - http://t.co/olAzHbcs",-1,1
